epoch;loss;val_loss;cer;time
000;128.295;97.321;0.702;1154.799
001;83.106;64.738;0.438;1144.463
002;63.553;48.690;0.321;1144.557
003;50.781;37.296;0.238;1146.383
004;42.113;32.226;0.191;1144.452
005;36.127;26.793;0.169;1144.871
006;31.528;25.351;0.156;1144.196
007;28.117;21.990;0.131;1144.366
008;25.366;21.780;0.127;1145.218
009;23.025;19.965;0.113;1148.392
010;20.989;20.219;0.109;1145.980
